Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,POSIX
362,36099.16666666667,270584.0,1.1026562,462825,1721144346242
363,36199.77083333333,362260.0,1.8039834,1167135,1721144346342
364,36299.125,354109.0,1.6106277,1078140,1721144346442
365,36399.33333333333,3241010.0,3.7780256,1255875,1721144346542
366,36498.916666666664,827659.0,1.624053,523515,1721144346641
367,36599.16666666667,402429.0,2.4026127,1899240,1721144346742
368,36699.479166666664,320488.0,1.0067188,124950,1721144346842
369,36799.60416666667,218638.0,0.76790255,66810,1721144346942
370,36899.583333333336,523485.0,1.1599119,117300,1721144347042
371,36999.41666666667,284022.0,1.1813,651015,1721144347142
372,37099.62499999999,542476.0,1.8310266,1086045,1721144347242
373,37199.416666666664,161744.0,0.86033773,273615,1721144347342
374,37299.458333333336,872990.0,3.4231675,3101820,1721144347442
375,37399.75,2306735.0,7.476494,14174685,1721144347542
376,37499.1875,2458928.0,9.036527,14740275,1721144347642
377,37599.14583333333,524139.0,2.3953824,1839315,1721144347742
378,37699.104166666664,436121.0,1.548098,597210,1721144347842
379,37799.104166666664,716609.0,2.844568,2892465,1721144347942
380,37899.145833333336,791994.0,3.0089395,3645480,1721144348042
381,37999.479166666664,828496.0,3.2599661,3953520,1721144348142
382,38099.52083333333,861983.0,3.6029575,3935925,1721144348242
383,38199.125,2294985.0,7.8338084,13485675,1721144348342
384,38299.43749999999,822406.0,3.4728153,3780630,1721144348442
385,38399.4375,830676.0,3.3150647,4140180,1721144348542
386,38499.354166666664,1618572.0,6.160703,10537875,1721144348642
387,38599.75,839056.0,3.8956206,3842085,1721144348742
388,38699.37499999999,1507947.0,5.1686606,7957020,1721144348842
389,38799.25,1092590.0,3.837322,5174205,1721144348942
390,38899.729166666664,719572.0,3.358776,3539400,1721144349042
391,38999.604166666664,378872.0,1.7426968,713235,1721144349142
392,39099.77083333333,1230958.0,4.5892863,6399735,1721144349242
393,39199.729166666664,491559.0,2.225129,1494810,1721144349342
394,39299.64583333333,945043.0,3.676667,4218210,1721144349442
395,39399.66666666667,4021972.0,5.519916,4832505,1721144349542
396,39499.333333333336,1161782.0,2.6437793,1524645,1721144349642
397,39599.14583333333,644878.0,3.41726,3402975,1721144349742
398,39699.22916666667,783605.0,3.1196823,2903175,1721144349842
399,39799.375,830228.0,3.587781,3676590,1721144349942
400,39899.33333333333,742685.0,3.4143844,3703365,1721144350042
401,39999.375,540821.0,2.3678176,2126445,1721144350142
402,40099.4375,709261.0,2.6010773,2768280,1721144350242
